/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 73.12it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.49it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:sdar:qwen3_1b7] step 104/150 loss=-13.8125 reward=0.062 gate=1.000 opsd=-139.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 105/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 106/150 loss=-13.3125 reward=0.000 gate=1.000 opsd=-133.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 107/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 108/150 loss=-13.6875 reward=0.000 gate=1.000 opsd=-137.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 109/150 loss=-14.1250 reward=0.000 gate=1.000 opsd=-141.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 110/150 loss=-13.8125 reward=0.000 gate=1.000 opsd=-138.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 111/150 loss=-14.1250 reward=0.000 gate=1.000 opsd=-141.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 112/150 loss=-13.6875 reward=0.000 gate=1.000 opsd=-137.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 113/150 loss=-13.6875 reward=0.000 gate=1.000 opsd=-137.0000 wall=3.5s
[search_qa:sdar:qwen3_1b7] step 114/150 loss=-14.1250 reward=0.000 gate=1.000 opsd=-141.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 115/150 loss=-14.0000 reward=0.000 gate=1.000 opsd=-140.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 116/150 loss=-14.0000 reward=0.000 gate=1.000 opsd=-140.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 117/150 loss=-14.1250 reward=0.000 gate=1.000 opsd=-141.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 118/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 119/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 120/150 loss=-14.1875 reward=0.000 gate=1.000 opsd=-142.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 121/150 loss=-14.3750 reward=0.000 gate=1.000 opsd=-144.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 122/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=4.1s
[search_qa:sdar:qwen3_1b7] step 123/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 124/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 125/150 loss=-14.5000 reward=0.000 gate=1.000 opsd=-145.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 126/150 loss=-14.3125 reward=0.000 gate=1.000 opsd=-143.0000 wall=3.9s
